species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
管吻鲀,1,管吻鲀,14,2,8,4,0,14.3,57.1,28.6,30.89,3209.1,1666.9,.jpg:14
约氏黑角鮟鱇,1,约氏黑角鮟鱇,14,14,0,0,0,100.0,0.0,0.0,33.5,3490.3,4125.7,.jpg:14
青眼鱼,1,青眼鱼,14,10,0,4,0,71.4,0.0,28.6,36.97,3708.9,2340.3,.jpg:14
鞭尾鱼,1,鞭尾鱼,14,14,0,0,0,100.0,0.0,0.0,64.84,4544,3075.3,.jpg:14
串光鱼,1,串光鱼,13,13,0,0,0,100.0,0.0,0.0,111.48,7879.4,4498.5,.jpg:13
凹吻黑线岩鲈,1,凹吻黑线岩鲈,13,13,0,0,0,100.0,0.0,0.0,44.11,4408.6,3840,.jpg:13
太平洋帆乌贼,1,太平洋帆乌贼,13,13,0,0,0,100.0,0.0,0.0,38.5,4105.8,3147.1,.jpg:13
斑纹线菱鲷,1,斑纹线菱鲷,13,12,1,0,0,92.3,7.7,0.0,29.74,2758,2782.2,.jpg:13
暗柄炬灯鱼,2,2018041暗柄炬灯鱼 | 暗柄炬灯鱼,13,13,0,0,0,100.0,0.0,0.0,39.42,4353.2,3197.5,.jpg:13
紫鱼属,1,紫鱼属,13,13,0,0,0,100.0,0.0,0.0,114.73,6768,4388.3,.jpg:13
锯犁鳗,1,锯犁鳗,13,13,0,0,0,100.0,0.0,0.0,75.56,4745.8,3491.7,.jpg:13
刺鲳,1,刺鲳,12,12,0,0,0,100.0,0.0,0.0,89.03,6744,4210.7,.jpg:12
单棘鲂鮄,1,单棘鲂鮄,12,12,0,0,0,100.0,0.0,0.0,126.76,8688,4888,.jpg:12
南海深水采集工作3 甲壳类汇总,6,南海深水采集工作3 甲壳类汇总_1_潮间带FeiBoy_来自小红书网页版 | 南海深水采集工作3 甲壳类汇总_2_潮间带FeiBoy_来自小红书网页版 | 南海深水采集工作3 甲壳类汇总_3_潮间带FeiBoy_来自小红书网页版 | 南海深水采集工作3 甲壳类汇总_4_潮间带FeiBoy_来自小红书网页版 | 南海深水采集工作3 甲壳类汇总_6_潮间带FeiBoy_来自小红书网页版 | 南海深水采集工作3 甲壳类汇总_7_潮间带FeiBoy_来自小红书网页版,12,0,12,0,0,0.0,100.0,0.0,3.78,1380,1140,.jpg:12
印度巨尾鱼,1,印度巨尾鱼,12,12,0,0,0,100.0,0.0,0.0,31.92,3402.7,2552,.jpg:12
后点珍灯鱼,4,2015142后点珍灯鱼 | 2016030后点珍灯鱼 | 2017016-017后点珍灯鱼 | 后点珍灯鱼,12,12,0,0,0,100.0,0.0,0.0,15.4,3130.7,3384,.jpg:12
太平洋掠食巨口鱼,1,太平洋掠食巨口鱼,12,12,0,0,0,100.0,0.0,0.0,29.56,3718.7,3486.7,.jpg:12
安达曼钩腕乌贼,1,安达曼钩腕乌贼,12,10,2,0,0,83.3,16.7,0.0,33.83,4556.3,3106.3,.jpg:12
巨额颚糠虾,1,巨额颚糠虾,12,12,0,0,0,100.0,0.0,0.0,51.58,4081.3,3622.7,.jpg:12
带鱼,1,带鱼,12,10,0,2,0,83.3,0.0,16.7,80.9,5545.2,3176.3,.jpg:12
披肩鰧,1,披肩鰧,12,12,0,0,0,100.0,0.0,0.0,142.66,8688,4888,.jpg:12
游棘蛇鲭,1,游棘蛇鲭,12,12,0,0,0,100.0,0.0,0.0,40.13,5074.7,3259.7,.jpg:12
珠赤鮨,1,珠赤鮨,12,10,2,0,0,83.3,16.7,0.0,91.99,7548.5,4239.8,.jpg:12
盔蓑鲉,1,盔蓑鲉,12,12,0,0,0,100.0,0.0,0.0,112.25,7848,4529.3,.jpg:12
短额刺虾,1,短额刺虾,12,12,0,0,0,100.0,0.0,0.0,26.73,3124,2700,.jpg:12
红鳍圆鲹,1,红鳍圆鲹,12,12,0,0,0,100.0,0.0,0.0,126.54,8688,4888,.jpg:12
